LoanNumber,LoanGuid,LoanFolder,ClosingDate
4.41E+14,8d55c3d2-b5c8-4e88-911c-cd14ef29d0b1,Active,9/23/2024 0:00
4.00E+14,d586ca22-581d-4a8b-b36e-834e04d6c67d,Active,9/23/2024 0:00
4.00E+14,989ed13a-c060-4f42-9439-6dbb99f5cbdc,Active,9/23/2024 0:00
4.00E+14,9703ae17-6859-413b-b2b4-6428104d2080,Active,9/23/2024 0:00
4.00E+14,97f48732-8c36-4095-bf56-d2adeef8f4a2,Active,9/23/2024 0:00
4.00E+14,fafbd105-768d-4689-9cb6-aaf25145c311,Active,9/23/2024 0:00
4.00E+14,0ee521d4-2e60-4d06-abe0-b3888838c071,Active,9/23/2024 0:00
4.00E+14,026c3f20-9446-475d-9e75-5aa3745e2e59,Active,9/24/2024 0:00
4.00E+14,7c56afa7-416e-479b-8d7b-01b76315907e,Active,9/24/2024 0:00
4.00E+14,ed59bbc1-9bc0-43dd-8854-32d7c3b51196,Active,9/24/2024 0:00
3.51E+14,bcce0902-3053-4f95-aeff-03d8970c0fed,Active,9/24/2024 0:00
4.00E+14,a28ebe9a-6dc9-47ee-9dbe-40403f17980b,Active,9/24/2024 0:00
4.00E+14,300b81e9-2679-4548-a558-9ec687594b5b,Active,9/24/2024 0:00
4.00E+14,ebd23707-544a-4325-b1a2-d7aff588f646,Active,9/24/2024 0:00
3.05E+14,16319ce5-a022-47c4-b8f2-bd80ed79854a,Active,9/24/2024 0:00
4.00E+14,358a205a-7420-4321-b939-e76009ca2a0f,Active,9/24/2024 0:00
4.00E+14,d5cdac2c-e95a-4f1c-8703-bc155969948a,Active,9/24/2024 0:00
4.00E+14,9d17e2dc-cb9b-4411-bddc-65e99f0a7744,Active,9/24/2024 0:00
4.00E+14,e3b33ee7-7dbc-44d4-9cbe-d343ebdcb03b,Active,9/24/2024 0:00
1.53E+14,5cb1455e-700e-46f0-93d1-3c0b99648eb5,Active,9/24/2024 0:00
4.41E+14,4b014344-cbc2-4496-a736-f854e4556135,Active,9/24/2024 0:00
4.01E+14,2b796ccd-60ed-4e0d-8732-352e6263c9d8,Active,9/24/2024 0:00
4.00E+14,e670d1c2-61c8-4808-b1ec-dcc9e0640c6f,Active,9/24/2024 0:00
4.00E+14,a69e7484-bf58-4c5a-bb45-2aeb0df1fc96,Active,9/24/2024 0:00
4.00E+14,260886c0-5177-4db4-b6e6-2ad17174b8b0,Active,9/24/2024 0:00
3.51E+14,320cb7e5-86fe-4bac-9950-63bc2011de25,Active,9/25/2024 0:00
1.20E+14,3aab113c-2243-4bd5-9f13-5b66c9c1ba6e,Active,9/25/2024 0:00
4.00E+14,489819dd-3b50-4a52-99e3-39ca9a773a08,Active,9/25/2024 0:00
4.81E+14,7708cca7-3d11-4b3f-b95c-8d90d60f1555,Active,9/25/2024 0:00
4.81E+14,cae6ee39-3f4d-44c4-9be9-d7a0fa0d5c73,Active,9/25/2024 0:00
4.00E+14,a5c9d29c-1072-4fb7-93ec-a0d498b3ef51,Active,9/25/2024 0:00
1.51E+14,4a6b7b06-d2a1-4c5c-b311-b8cb87893a49,Active,9/25/2024 0:00
4.41E+14,81a4f628-4adc-4fb3-940b-95905c943088,Active,9/25/2024 0:00
4.41E+14,0e9bd17c-83fa-4f33-8b08-d7914023abe3,Active,9/25/2024 0:00
4.00E+14,8e6b858f-0f8a-48cc-9f3c-a7b6fdd36736,Active,9/25/2024 0:00
4.00E+14,84f2980e-c77d-4ebd-99d7-a7e7f4b57e49,Active,9/25/2024 0:00
4.00E+14,30f3ddf3-cc20-40eb-9c3e-5aae647732fe,Active,9/25/2024 0:00
4.00E+14,fd9d9a77-421f-4064-9308-46e5211ab61c,Active,9/25/2024 0:00
4.81E+14,53e8e3d3-0978-41dc-8701-a57d1e4119fc,Active,9/25/2024 0:00
4.00E+14,880069e4-ecbf-43c8-af9c-27c8e5cc2e8b,Active,9/25/2024 0:00
4.00E+14,91900a46-aab1-47a3-b953-ee500aa115e1,Active,9/25/2024 0:00
4.00E+14,d47397e5-7d50-4671-80b6-a8ef409a6fcc,Active,9/25/2024 0:00
3.05E+14,53f51f26-0f20-468c-bd6f-d3846054445d,Active,9/25/2024 0:00
2.30E+14,0cfe1256-95ae-4aea-8791-d7042f61044d,Active,9/25/2024 0:00
4.41E+14,aed1912c-8d8e-4895-8561-3c887afab62b,Active,9/25/2024 0:00
4.00E+14,804fb5a2-2133-44ce-87e8-b6311213c678,Active,9/25/2024 0:00
4.00E+14,f67285b5-1978-4dd5-9879-68c44da6ca32,Active,9/25/2024 0:00
4.00E+14,fd8633af-cf75-4740-b318-1977e6239b8d,Active,9/25/2024 0:00
4.00E+14,e5d5517d-2ddf-4dc0-97c5-07bd618b238b,Active,9/25/2024 0:00
4.00E+14,5410ad15-c6ea-4e2f-9e23-f44092601d0a,Active,9/25/2024 0:00
4.00E+14,db8029e9-aca1-4301-9f06-d5301c57c08d,Active,9/25/2024 0:00
4.81E+14,4b696279-2839-42ca-9be7-099a61005f4f,Active,9/25/2024 0:00
4.00E+14,a76909e5-adb8-431e-b6e3-941a75a44d2b,Active,9/25/2024 0:00
4.00E+14,3c851b01-155d-4e67-a340-9408b390a688,Active,9/25/2024 0:00
4.00E+14,1de834e6-827c-4d4f-8559-84ff9849180c,Active,9/25/2024 0:00
1.53E+14,131c9236-7d9a-4db7-98b7-ed502553568e,Active,9/25/2024 0:00
4.00E+14,f1bcf289-6cf1-4740-9069-eed500a9bcea,Active,9/25/2024 0:00
4.00E+14,e51b491e-2392-4ff8-94f5-1a6669d4b593,Active,9/25/2024 0:00
4.41E+14,73061de7-c539-4661-bac7-863ffbf75515,Active,9/25/2024 0:00
4.41E+14,9ee276d8-4e02-4896-8165-5aade4a28d12,Active,9/25/2024 0:00
4.41E+14,464992ea-5b03-4087-b2a5-29f0f0675808,Active,9/25/2024 0:00
4.41E+14,a67be555-b930-48bf-9b00-bb462881bb86,Active,9/25/2024 0:00
4.00E+14,8e63e1c0-2016-4a60-95d6-d6877e207adc,Active,9/25/2024 0:00
4.00E+14,7e72b246-26f4-4776-b62d-d5eaeb4acfd4,Active,9/25/2024 0:00
4.41E+14,4234913b-2860-443d-93db-44c4018c78d5,Active,9/25/2024 0:00
4.00E+14,aa79f1fa-f47c-44c7-9d98-b49573597602,Active,9/25/2024 0:00
4.00E+14,f2a7e92e-47dc-4d15-b2dd-e1709f4dd0c4,Active,9/25/2024 0:00
4.00E+14,0efb808e-2cc1-4fb4-b841-947bff72cac2,Active,9/25/2024 0:00
4.01E+14,7e691b8e-e5a5-47ba-b6f2-01d20754e985,Active,9/25/2024 0:00
4.00E+14,3a9cb66a-1fb3-406c-a8b7-f2b69ec9a744,Active,9/25/2024 0:00
4.00E+14,1d908f00-ea50-4ca6-b0d1-4fab94a27448,Active,9/25/2024 0:00
4.00E+14,ed24debe-f667-4b81-8322-f41d2e8e28f7,Active,9/25/2024 0:00
4.00E+14,b3d04773-be86-4122-9ac7-bd353ca455ba,Active,9/25/2024 0:00
4.00E+14,b8ded0e9-c073-4ffa-b640-9c08d436c11b,Active,9/25/2024 0:00
4.00E+14,03e19c89-376a-4a0c-a25a-0d517545a089,Active,9/25/2024 0:00
4.41E+14,f27ad10d-3847-4b65-8f91-524240da8988,Active,9/25/2024 0:00
4.00E+14,4a0a7435-9d1f-4b29-9d46-b9697d73d82e,Active,9/25/2024 0:00
4.00E+14,991e1a63-3a22-401b-b01a-d2db328e87da,Active,9/26/2024 0:00
4.00E+14,2fe77f5c-e850-4069-b9fc-61adff1fde74,Active,9/26/2024 0:00
4.00E+14,a5dff194-0db0-4383-b148-e7105eebdab4,Active,9/26/2024 0:00
4.00E+14,619ef5f1-959d-4dd7-bd2a-881e0f2b748c,Active,9/26/2024 0:00
4.41E+14,df4507d1-18e2-4fa7-840a-4dee65874bbe,Active,9/26/2024 0:00
4.00E+14,7473b2a9-a9bf-4ee5-a56a-13268ecabd34,Active,9/26/2024 0:00
4.00E+14,73d2f80b-a034-4460-99f3-1227e195f488,Active,9/26/2024 0:00
4.00E+14,99345fa3-8494-426a-b3f8-3b6fb6488a5e,Active,9/26/2024 0:00
4.00E+14,9d0e7e04-e9be-44fc-96de-11b1f426e23a,Active,9/26/2024 0:00
4.00E+14,008e66b9-7522-4737-90f2-536b1abecd8b,Active,9/26/2024 0:00
4.00E+14,fa1323fe-3c27-4652-b304-b7c8b992f142,Active,9/26/2024 0:00
4.00E+14,1f3a9b9e-efa2-4d80-8f32-32758ecde5f4,Active,9/26/2024 0:00
4.00E+14,fa0dc632-4fd4-46f5-ab9c-56c81b67f2ab,Active,9/26/2024 0:00
4.00E+14,d35a3df4-d83b-48e9-a91b-03d939c843e2,Active,9/26/2024 0:00
4.41E+14,a39ea961-206c-48bf-a903-45a4813b7eea,Active,9/26/2024 0:00
1.30E+14,1d5ca28a-13fd-4ea4-a636-0ecd8af1ece2,Active,9/26/2024 0:00
4.00E+14,146743a1-0c83-4892-a5f2-e5c621ef8ca9,Active,9/26/2024 0:00
4.00E+14,ac92e193-9151-4211-bae6-5ab730468791,Active,9/26/2024 0:00
4.01E+14,f33c0a34-d72e-4703-9fa0-f55cd5b73030,Active,9/26/2024 0:00
4.00E+14,bddf338c-d2ca-47b2-925c-2e7369eceacd,Active,9/26/2024 0:00
4.00E+14,8f13b673-bea6-4ef1-a058-ba78c6e475ed,Active,9/26/2024 0:00
4.00E+14,eabcf1de-29e1-450a-af95-1340727a3488,Active,9/26/2024 0:00
4.41E+14,78f03055-ebaa-4d76-b865-da8ac607517c,Active,9/26/2024 0:00
1.28E+14,d642528b-9d9a-4bbb-83b8-4ecebf838658,Active,9/26/2024 0:00
4.00E+14,09c513c6-4920-4cd2-b076-0a196b30799b,Active,9/26/2024 0:00
4.00E+14,ac02042b-e8ca-45f7-b285-030a96339773,Active,9/26/2024 0:00
4.41E+14,0a575380-7f48-4273-aeab-38c50d095bde,Active,9/26/2024 0:00
4.00E+14,56a6b001-5a45-4838-85f3-2f5eb38b6ba1,Active,9/26/2024 0:00
4.00E+14,da8978cc-ecd6-4a5e-bf31-3b23605ab4dd,Active,9/26/2024 0:00
4.00E+14,e40a611b-87d9-4773-9097-032551de5e01,Active,9/26/2024 0:00
4.41E+14,4a36cb18-04b7-417f-ac3d-4b0f0c2b02a1,Active,9/26/2024 0:00
4.00E+14,432992c4-3ce9-4e5b-b72b-fc3014da4c71,Active,9/26/2024 0:00
4.41E+14,953235ce-9563-437d-91d8-819775587539,Active,9/26/2024 0:00
4.41E+14,874a5217-a6ea-4cc5-938f-0d854355e2e2,Active,9/26/2024 0:00
4.00E+14,ebdf6ad8-757b-474c-b490-7349d3d54510,Active,9/26/2024 0:00
4.00E+14,019d11d7-cda0-4049-9a62-9b11a7216352,Active,9/26/2024 0:00
4.00E+14,47ed3ed0-3514-4c4c-9611-8a8f7a8f3101,Active,9/26/2024 0:00
4.00E+14,c69e1c6d-7370-4f36-a4de-8601a055c265,Active,9/26/2024 0:00
3.51E+14,a44dcc61-0223-490b-8df3-bc536b6ac36b,Active,9/26/2024 0:00
4.00E+14,f2ddddcf-b58c-4cfb-a8a3-02cedc726e4e,Active,9/26/2024 0:00
4.01E+14,2369472c-f446-47c4-a562-67af459ccc69,Active,9/26/2024 0:00
4.00E+14,b78b56f7-5cac-4adf-bc5a-35d8bb2699ba,Active,9/26/2024 0:00
4.00E+14,59d6b4ce-8b53-4696-9a58-cfc03524fa5b,Active,9/26/2024 0:00
4.00E+14,34e24414-88d3-48a0-8140-0846a3fac400,Active,9/26/2024 0:00
4.00E+14,a0785c43-3866-4fb1-9251-1fc69c8ff234,Active,9/26/2024 0:00
4.01E+14,e4cb91fe-c794-4e61-bd41-17f8829883c0,Active,9/26/2024 0:00
4.00E+14,af52ef1d-52e7-4f23-9589-172cb28265c6,Active,9/26/2024 0:00
4.81E+14,de23a3a0-b348-47f0-93f4-134862135218,Active,9/26/2024 0:00
4.00E+14,d47b603e-b9c2-422f-8537-9ecf68971d88,Active,9/26/2024 0:00
4.00E+14,bf92490c-46f0-4cba-add1-6b5b6d1db051,Active,9/26/2024 0:00
4.00E+14,ddf41c99-eb31-4a62-87c5-687f2a476644,Active,9/26/2024 0:00
4.00E+14,c6e681f2-014e-48ad-9e9c-95d042ae1c8a,Active,9/26/2024 0:00
4.00E+14,8473434d-5163-413a-a3e6-7d5f459029c2,Active,9/26/2024 0:00
4.00E+14,c275e6d6-60e5-4607-b5f7-74528b270d65,Active,9/26/2024 0:00
4.00E+14,d5940471-28da-432e-b69c-4090ed470298,Active,9/26/2024 0:00
4.00E+14,97c27a65-aa40-416e-816f-d1a3344831ee,Active,9/26/2024 0:00
4.41E+14,7c1cc683-5892-487c-9cc8-deabbdd76580,Active,9/26/2024 0:00
4.00E+14,5e616f4e-19e4-4e1e-a515-ee3ef261e495,Active,9/26/2024 0:00
9.60E+14,2bce2071-cbd7-4aaa-91f9-03b6f2047f2c,Active,9/26/2024 0:00
4.00E+14,1ca9a896-2ebb-4f6f-a4d6-20ec4147c1be,Active,9/26/2024 0:00
